trainStation,departureTime
8504296,00824 
8504295,00829 
8504294,00832 
8504293,00836 
8504292,00839 
8504291,00840 
8530263,00841 
8504200,00812 
8530263,00813 
8504291,00814 
8504292,00815 
8504293,00818 
8504294,00822 
8504295,00828 
8504296,00831 
8504297,00838 
8504298,00911 
8504297,00918 
8504296,00924 
8504295,00929 
8504294,00932 
8504293,00936 
8504292,00939 
8504291,00940 
8530263,00941 
8504200,00912 
8530263,00913 
8504291,00914 
8504292,00915 
8504293,00918 
8504294,00922 
8504295,00928 
8504296,00931 
8504297,00938 
8504298,01011 
8504297,01018 
8504296,01024 
8504295,01029 
8504294,01032 
8504293,01036 
8504292,01039 
8504291,01040 
8530263,01041 
8504200,01012 
8530263,01013 
8504291,01014 
8504292,01015 
8504293,01018 
8504294,01022 
8504295,01028 
8504296,01031 
8504297,01038 
8504298,01111 
8504297,01118 
8504296,01124 
8504295,01129 
8504294,01132 
8504293,01136 
8504292,01139 
8504291,01140 
8530263,01141 
8504200,01112 
8530263,01113 
8504291,01114 
8504292,01115 
8504293,01118 
8504294,01122 
8504295,01128 
8504296,01131 
8504297,01138 
8504298,01211 
8504297,01218 
8504296,01224 
8504295,01229 
8504294,01232 
8504293,01236 
8504292,01239 
8504291,01240 
8530263,01241 
8504200,01212 
8530263,01213 
8504291,01214 
8504292,01215 
8504293,01218 
8504294,01222 
8504295,01228 
8504296,01231 
8504297,01238 
8504298,01311 
8504297,01318 
8504296,01324 
8504295,01329 
8504294,01332 
8504293,01336 
8504292,01339 
8504291,01340 
8530263,01341 
8504200,01312 
8530263,01313 
8504291,01314 
8504292,01315 
8504293,01318 
8504294,01322 
8504295,01328 
8504296,01331 
8504297,01338 
8504298,01411 
8504297,01418 
8504296,01424 
8504295,01429 
8504294,01432 
8504293,01436 
8504292,01439 
8504291,01440 
8530263,01441 
8504200,01412 
8530263,01413 
8504291,01414 
8504292,01415 
8504293,01418 
8504294,01422 
8504295,01428 
8504296,01431 
8504297,01438 
8504298,01511 
8504297,01518 
8504296,01524 
8504295,01529 
8504294,01532 
8504293,01536 
8504292,01539 
8504291,01540 
8530263,01541 
8504200,01512 
8530263,01513 
8504291,01514 
8504292,01515 
8504293,01518 
8504294,01522 
8504295,01528 
8504296,01531 
8504297,01538 
8504298,01611 
8504297,01618 
8504296,01624 
8504295,01629 
8504294,01632 
8504293,01636 
8504292,01639 
8504291,01640 
8530263,01641 
8504200,01612 
8530263,01613 
8504291,01614 
8504292,01615 
8504293,01618 
8504294,01622 
8504295,01628 
8504296,01631 
8504297,01638 
8504298,01711 
8504297,01718 
8504296,01724 
8504295,01729 
8504294,01732 
8504293,01736 
8504292,01739 
8504291,01740 
8530263,01741 
8504200,01712 
8530263,01713 
8504291,01714 
8504292,01715 
8504293,01718 
8504294,01722 
8504295,01728 
8504296,01731 
8504297,01738 
8504298,01754 
8504297,01801 
